CCAA;año;edad;sexo;tasa_empleo;tasa_paro;tasa_actividad;;;;;;;;
            05 Canarias;2022;        De 25 a 54 años;Hombres;14.63;14.26;45.44;;;;;;;;
            06 Cantabria;2022;        De 25 a 54 años;Hombres;13.91;6.68;31.69;;;;;;;;
            07 Castilla y León;2022;        De 25 a 54 años;Hombres;20.62;7.43;40.21;;;;;;;;
            08 Castilla - La Mancha;2022;        De 25 a 54 años;Hombres;18.14;8.92;45.58;;;;;;;;
            09 Cataluña;2022;        De 25 a 54 años;Hombres;23.50;7.90;50.98;;;;;;;;
            10 Comunitat Valenciana;2022;        De 25 a 54 años;Hombres;18.99;9.74;44.86;;;;;;;;
            11 Extremadura;2022;        De 25 a 54 años;Hombres;17.11;12.13;45.53;;;;;;;;
            12 Galicia;2022;        De 25 a 54 años;Hombres;18.09;8.95;36.86;;;;;;;;
            13 Madrid, Comunidad de;2022;        De 25 a 54 años;Hombres;21.45;7.86;42.09;;;;;;;;
            14 Murcia, Región de;2022;        De 25 a 54 años;Hombres;20.90;10.54;44.88;;;;;;;;
            15 Navarra, Comunidad Foral de;2022;        De 25 a 54 años;Hombres;18.33;8.06;34.93;;;;;;;;
            16 País Vasco;2022;        De 25 a 54 años;Hombres;18.70;7.20;36.14;;;;;;;;
            17 Rioja, La;2022;        De 25 a 54 años;Hombres;18.53;8.43;35.75;;;;;;;;
            18 Ceuta;2022;        De 25 a 54 años;Hombres;8.84;27.81;38.19;;;;;;;;
            19 Melilla;2022;        De 25 a 54 años;Hombres;19.88;13.44;39.29;;;;;;;;
            01 Andalucía;2022;        55 y más años;Hombres;16.27;15.44;44.47;;;;;;;;
            02 Aragón;2022;        55 y más años;Hombres;22.77;7.03;42.40;;;;;;;;
            03 Asturias, Principado de;2022;        55 y más años;Hombres;18.48;9.02;35.48;;;;;;;;
            04 Balears, Illes;2022;        55 y más años;Hombres;27.88;6.90;51.42;;;;;;;;
            05 Canarias;2022;        55 y más años;Hombres;16.58;15.81;44.54;;;;;;;;
            06 Cantabria;2022;        55 y más años;Hombres;19.97;7.32;32.37;;;;;;;;
            07 Castilla y León;2022;        55 y más años;Hombres;22.33;6.74;41.06;;;;;;;;
            08 Castilla - La Mancha;2022;        55 y más años;Hombres;21.63;10.57;46.39;;;;;;;;
            09 Cataluña;2022;        55 y más años;Hombres;23.84;7.19;50.33;;;;;;;;
            10 Comunitat Valenciana;2022;        55 y más años;Hombres;19.99;11.26;45.15;;;;;;;;
            11 Extremadura;2022;        55 y más años;Hombres;19.31;13.85;47.05;;;;;;;;
            12 Galicia;2022;        55 y más años;Hombres;21.64;8.50;39.81;;;;;;;;
            13 Madrid, Comunidad de;2022;        55 y más años;Hombres;20.51;8.07;43.02;;;;;;;;
            14 Murcia, Región de;2022;        55 y más años;Hombres;22.25;7.41;45.64;;;;;;;;
            15 Navarra, Comunidad Foral de;2022;        55 y más años;Hombres;22.79;7.59;37.17;;;;;;;;
            16 País Vasco;2022;        55 y más años;Hombres;22.62;6.90;38.77;;;;;;;;
            17 Rioja, La;2022;        55 y más años;Hombres;24.96;5.83;44.88;;;;;;;;
            18 Ceuta;2022;        55 y más años;Hombres;9.92;7.03;42.62;;;;;;;;
            19 Melilla;2022;        55 y más años;Hombres;10.61;17.84;29.84;;;;;;;;
            01 Andalucía;2021;        Menores de 25 años;Hombres;20.99;42.85;47.36;;;;;;;;
            02 Aragón;2021;        Menores de 25 años;Hombres;26.04;21.33;46.19;;;;;;;;
            03 Asturias, Principado de;2021;        Menores de 25 años;Hombres;17.21;24.48;35.69;;;;;;;;
            04 Balears, Illes;2021;        Menores de 25 años;Hombres;25.89;31.55;50.84;;;;;;;;
            05 Canarias;2021;        Menores de 25 años;Hombres;23.98;56.87;46.34;;;;;;;;
            06 Cantabria;2021;        Menores de 25 años;Hombres;24.41;31.19;41.36;;;;;;;;
            07 Castilla y León;2021;        Menores de 25 años;Hombres;27.07;28.53;44.65;;;;;;;;
            08 Castilla - La Mancha;2021;        Menores de 25 años;Hombres;26.95;29.72;49.91;;;;;;;;
            09 Cataluña;2021;        Menores de 25 años;Hombres;26.01;29.00;51.47;;;;;;;;
            10 Comunitat Valenciana;2021;        Menores de 25 años;Hombres;21.01;36.20;46.88;;;;;;;;
            11 Extremadura;2021;        Menores de 25 años;Hombres;22.50;41.60;44.37;;;;;;;;
            12 Galicia;2021;        Menores de 25 años;Hombres;26.38;31.35;42.89;;;;;;;;
            13 Madrid, Comunidad de;2021;        Menores de 25 años;Hombres;26.05;31.22;45.11;;;;;;;;
            14 Murcia, Región de;2021;        Menores de 25 años;Hombres;25.67;27.92;50.44;;;;;;;;
            15 Navarra, Comunidad Foral de;2021;        Menores de 25 años;Hombres;30.39;25.10;40.68;;;;;;;;
            16 País Vasco;2021;        Menores de 25 años;Hombres;26.21;34.60;38.97;;;;;;;;
            17 Rioja, La;2021;        Menores de 25 años;Hombres;25.20;24.72;42.56;;;;;;;;
            18 Ceuta;2021;        Menores de 25 años;Hombres;18.21;46.53;41.71;;;;;;;;
            19 Melilla;2021;        Menores de 25 años;Hombres;9.73;38.89;29.19;;;;;;;;
            01 Andalucía;2021;        25 y más años;Hombres;24.33;16.66;49.27;;;;;;;;
            02 Aragón;2021;        25 y más años;Hombres;34.47;7.52;48.98;;;;;;;;
            03 Asturias, Principado de;2021;        25 y más años;Hombres;24.02;10.81;40.39;;;;;;;;
            04 Balears, Illes;2021;        25 y más años;Hombres;29.24;12.38;57.29;;;;;;;;
            05 Canarias;2021;        25 y más años;Hombres;21.36;20.09;48.44;;;;;;;;
            06 Cantabria;2021;        25 y más años;Hombres;26.81;9.10;39.96;;;;;;;;
            07 Castilla y León;2021;        25 y más años;Hombres;30.83;8.35;46.21;;;;;;;;
            08 Castilla - La Mancha;2021;        25 y más años;Hombres;31.30;10.17;54.58;;;;;;;;
            09 Cataluña;2021;        25 y más años;Hombres;30.16;8.75;55.10;;;;;;;;
            10 Comunitat Valenciana;2021;        25 y más años;Hombres;29.89;12.35;50.92;;;;;;;;
            11 Extremadura;2021;        25 y más años;Hombres;26.57;13.47;47.82;;;;;;;;
            12 Galicia;2021;        25 y más años;Hombres;29.08;9.57;44.31;;;;;;;;
            13 Madrid, Comunidad de;2021;        25 y más años;Hombres;30.29;9.24;49.50;;;;;;;;
            14 Murcia, Región de;2021;        25 y más años;Hombres;29.03;10.61;49.83;;;;;;;;
            15 Navarra, Comunidad Foral de;2021;        25 y más años;Hombres;31.07;10.35;44.23;;;;;;;;
            16 País Vasco;2021;        25 y más años;Hombres;26.44;7.89;39.51;;;;;;;;
            17 Rioja, La;2021;        25 y más años;Hombres;28.74;7.46;42.99;;;;;;;;
            18 Ceuta;2021;        25 y más años;Hombres;21.72;19.86;46.40;;;;;;;;
            19 Melilla;2021;        25 y más años;Hombres;26.14;16.26;44.13;;;;;;;;
            01 Andalucía;2021;        De 16 a 19 años;Hombres;28.26;56.99;52.65;;;;;;;;
            02 Aragón;2021;        De 16 a 19 años;Hombres;33.63;28.44;51.14;;;;;;;;
            03 Asturias, Principado de;2021;        De 16 a 19 años;Hombres;29.47;33.41;45.98;;;;;;;;
            04 Balears, Illes;2021;        De 16 a 19 años;Hombres;37.07;40.15;61.08;;;;;;;;
            05 Canarias;2021;        De 16 a 19 años;Hombres;25.75;69.24;50.11;;;;;;;;
            06 Cantabria;2021;        De 16 a 19 años;Hombres;33.00;41.28;44.48;;;;;;;;
            07 Castilla y León;2021;        De 16 a 19 años;Hombres;35.13;44.21;49.08;;;;;;;;
            08 Castilla - La Mancha;2021;        De 16 a 19 años;Hombres;36.06;46.12;55.63;;;;;;;;
            09 Cataluña;2021;        De 16 a 19 años;Hombres;33.84;44.48;57.78;;;;;;;;
            10 Comunitat Valenciana;2021;        De 16 a 19 años;Hombres;33.92;48.31;56.21;;;;;;;;
            11 Extremadura;2021;        De 16 a 19 años;Hombres;31.83;50.84;49.32;;;;;;;;
            12 Galicia;2021;        De 16 a 19 años;Hombres;34.34;43.13;49.78;;;;;;;;
            13 Madrid, Comunidad de;2021;        De 16 a 19 años;Hombres;33.46;55.68;52.48;;;;;;;;
            14 Murcia, Región de;2021;        De 16 a 19 años;Hombres;34.45;57.23;53.45;;;;;;;;
            15 Navarra, Comunidad Foral de;2021;        De 16 a 19 años;Hombres;35.93;39.66;51.17;;;;;;;;
            16 País Vasco;2021;        De 16 a 19 años;Hombres;29.49;52.39;44.85;;;;;;;;
            17 Rioja, La;2021;        De 16 a 19 años;Hombres;34.96;39.13;53.71;;;;;;;;
            18 Ceuta;2021;        De 16 a 19 años;Hombres;29.67;100.00;40.30;;;;;;;;
            19 Melilla;2021;        De 16 a 19 años;Hombres;31.43;71.68;39.29;;;;;;;;
            01 Andalucía;2021;        De 20 a 24 años;Hombres;40.46;40.01;57.90;;;;;;;;
